# mass(kg) vt_simulated(m/s) vt_theoretical(m/s)
0.001 0.313209 0.313209
0.00158489 0.394307 0.394307
0.00251189 0.496403 0.496403
0.00398107 0.624935 0.624935
0.00630957 0.786746 0.786746
0.01 0.990454 0.990454
0.0158489 1.24691 1.24691
0.0251189 1.56976 1.56976
0.0398107 1.97622 1.97622
0.0630957 2.48791 2.48791
0.1 3.13209 3.13209
0.158489 3.94307 3.94307
0.251189 4.96403 4.96403
0.398107 6.24934 6.24935
0.630957 7.8674 7.86746
1 9.90441 9.90454
1.58489 12.469 12.4691
2.51189 15.6972 15.6976
3.98107 19.7614 19.7622
6.30957 24.8773 24.8791
10 31.3181 31.3209
